iter	Passed	Remaining
739	7790	2737
740	7800	2726
741	7811	2716
742	7822	2705
743	7830	2694
744	7839	2683
745	7848	2672
746	7855	2660
747	7861	2648
748	7869	2637
749	7878	2626
750	7886	2614
751	7895	2603
752	7904	2592
753	7912	2581
754	7920	2570
755	7930	2559
756	7938	2548
757	7946	2536
758	7952	2525
759	7961	2514
760	7970	2503
761	7977	2491
762	7983	2479
763	7990	2468
764	7997	2456
765	8005	2445
766	8013	2434
767	8020	2422
768	8029	2412
769	8037	2400
770	8045	2389
771	8054	2378
772	8064	2368
773	8073	2357
774	8083	2346
775	8092	2335
776	8101	2325
777	8110	2314
778	8118	2303
779	8128	2292
780	8136	2281
781	8145	2270
782	8154	2260
783	8164	2249
784	8173	2238
785	8181	2227
786	8189	2216
787	8197	2205
788	8206	2194
789	8214	2183
790	8222	2172
791	8231	2161
792	8251	2153
793	8261	2143
794	8270	2132
795	8280	2122
796	8291	2111
797	8300	2101
798	8309	2090
799	8317	2079
800	8326	2068
801	8335	2057
802	8343	2046
803	8350	2035
804	8360	2025
805	8369	2014
806	8378	2003
807	8387	1993
808	8394	1981
809	8403	1971
810	8411	1960
811	8420	1949
812	8428	1938
813	8436	1927
814	8444	1916
815	8452	1905
816	8461	1895
817	8470	1884
818	8478	1873
819	8485	1862
820	8495	1852
821	8504	1841
822	8512	1830
823	8521	1820
824	8531	1809
825	8541	1799
826	8552	1789
827	8562	1778
828	8573	1768
829	8582	1757
830	8591	1747
831	8603	1737
832	8613	1726
833	8625	1716
834	8635	1706
835	8644	1695
836	8654	1685
837	8663	1674
838	8671	1664
839	8685	1654
840	8696	1644
841	8708	1634
842	8718	1623
843	8732	1614
844	8744	1603
845	8754	1593
846	8763	1583
847	8769	1571
848	8776	1561
849	8784	1550
850	8792	1539
851	8801	1528
852	8810	1518
853	8818	1507
854	8826	1496
855	8834	1486
856	8843	1475
857	8851	1464
858	8859	1454
859	8867	1443
860	8874	1432
861	8882	1422
862	8890	1411
863	8899	1400
864	8910	1390
865	8920	1380
866	8932	1370
867	8943	1360
868	8953	1349
869	8965	1339
870	8981	1330
871	8993	1320
872	8998	1309
873	9010	1298
874	9021	1288
875	9033	1278
876	9043	1268
877	9054	1258
878	9066	1248
879	9079	1238
880	9088	1227
881	9099	1217
882	9110	1207
883	9122	1197
884	9137	1187
885	9155	1177
886	9162	1167
887	9174	1157
888	9186	1147
889	9203	1137
890	9222	1128
891	9237	1118
892	9252	1108
893	9268	1098
894	9282	1088
895	9298	1079
896	9312	1069
897	9326	1059
898	9337	1049
899	9348	1038
900	9360	1028
901	9371	1018
902	9380	1007
903	9389	997
904	9400	986
905	9412	976
906	9422	966
907	9430	955
908	9437	944
909	9448	934
910	9460	924
911	9472	914
912	9484	903
913	9495	893
914	9507	883
915	9518	872
916	9531	862
917	9541	852
918	9550	841
919	9560	831
920	9569	820
921	9579	810
922	9605	801
923	9615	790
924	9640	781
925	9652	771
926	9663	760
927	9671	750
928	9683	740
929	9698	729
930	9713	719
931	9727	709
932	9738	699
933	9749	688
934	9757	678
935	9766	667
936	9773	657
937	9783	646
938	9792	636
939	9801	625
940	9818	615
941	9834	605
942	9843	595
943	9853	584
944	9860	573
945	9869	563
946	9879	552
947	9888	542
948	9897	531
949	9908	521
950	9917	510
951	9927	500
952	9937	490
953	9945	479
954	9954	469
955	9962	458
956	9969	447
957	9977	437
958	9987	427
959	10000	416
960	10008	406
961	10017	395
962	10026	385
963	10034	374
964	10045	364
965	10055	353
966	10074	343
967	10081	333
968	10088	322
969	10094	312
970	10100	301
971	10106	291
972	10112	280
973	10120	270
974	10128	259
975	10136	249
976	10142	238
977	10148	228
978	10155	217
979	10160	207
980	10166	196
981	10171	186
982	10176	175
983	10180	165
984	10185	155
985	10189	144
986	10194	134
987	10198	123
988	10201	113
989	10205	103
990	10208	92
991	10212	82
992	10215	72
993	10218	61
994	10221	51
995	10225	41
996	10228	30
997	10232	20
998	10235	10
999	10238	0
